"ts","193.ImageMeanValue_m","193.SunMeanIntensity_m","193.SunVarIntensity_m","193.Total_Nubmers_of_CH_m","193.Relative_CH_Area_m","193.Relative_CH_CorrectSphereArea_m","211.ImageMeanValue_m","211.SunMeanIntensity_m","211.SunVarIntensity_m","211.Total_Nubmers_of_CH_m","211.Relative_CH_Area_m","211.Relative_CH_CorrectSphereArea_m","density_mean","density_noise_sd","velocity_mean","velocity_noise_sd","temperature_mean","temperature_noise_sd"
30,301.186744983736,34.823972204122,952.711806337152,124.954371408023,8.18959378612318,7.29342076248189,150.349119341879,35.4398532825409,1227.82391548609,243.169951418761,9.74953625290383,9.0532081485393,6.60524276642685,1.38176010086354,424.4754990144,6.81108863722021,69871.9989461229,23932.5073978943
31,300.55341972699,34.8541108242275,955.450269421029,125.593452413517,8.06316258838755,7.27113995024747,150.577682620994,35.5228442441718,1226.67816235056,244.755595504946,9.76424674717731,9.12620651338639,6.77748671928732,1.42821307192876,423.919732350279,6.78624409225854,70076.1967129805,24013.0436290134
32,300.019478310084,34.8878181349499,958.896266313362,126.251084682597,7.95933177531859,7.26332719464539,150.784883885891,35.6050303607812,1228.24005806146,246.114734480452,9.79179585641543,9.21016292307759,6.94281009926046,1.47322537647275,423.509888724775,6.76921734114417,70385.0452558061,24124.3593693924
33,299.579514064451,34.9246706867636,962.991918929614,126.926752499114,7.87685888772201,7.26908109127009,150.972400224284,35.6861846457629,1232.29263262373,247.25435578792,9.83115677131875,9.30395927062323,7.10054392510055,1.51663846609475,423.232022604219,6.75992730046462,70794.343584442,24265.467042584
34,299.228120321523,34.9642450301436,967.679349185247,127.619940146917,7.81450146640353,7.28750023571603,151.14190872389,35.7660801125103,1238.61891604237,248.181446869996,9.88130268258781,9.40647744903361,7.25001921556186,1.55829379239403,423.072188454944,6.75829288680741,71299.89070873,24435.379072141
35,298.959890412733,35.0061177155643,972.900678995724,128.330131909856,7.77101705216887,7.31768322357767,151.295086472421,35.8444897744171,1247.00193832233,248.902995169323,9.94120678092317,9.51659935131908,7.39056698939868,1.59803280696982,423.01644074328,6.76423301676005,71897.4856385123,24633.1078816161
36,298.769417669512,35.0498652935007,978.598030276508,129.056812071781,7.74516318582377,7.35872865044946,151.433610557594,35.921186644877,1257.22472946858,249.425988128545,10.0098422570254,9.63320687048992,7.52151826536529,1.63569696142137,423.050833935559,6.77766660691008,72582.9273836309,24857.6658945622
37,298.651295423293,35.0950643144273,984.713524943061,129.799464916542,7.73569740817393,7.40973511192585,151.559158067123,35.9959437372837,1269.07031948609,249.757413190306,10.086182301595,9.75518189955648,7.64220406221597,1.67112770734793,423.161422498113,6.79851257384502,73352.0149539279,25108.0655345319
38,298.600117005506,35.1412913288188,991.189284910844,130.557574727989,7.74137726002509,7.4698012036013,151.673406088723,36.0685340650306,1282.32173837984,249.90425779725,10.1692001053325,9.88140633152906,7.75195539870502,1.70416649634876,423.334260897273,6.82668983415238,74200.5473592453,25383.319225078
39,298.610475747586,35.18812288715,997.967432095322,131.330625789971,7.76096028218297,7.53802552107025,151.778031710109,36.1387306415116,1296.76201615479,249.87350939202,10.2578688589386,10.010762059418,7.8501032935867,1.73465478002309,423.55540359937,6.86211730441968,75124.3236094254,25682.4393897532
