obs_time,obs,pred,predMean
9030,464.738983050847,483.546744180328,483.56525702965
9090,467.230508474576,520.090914740948,483.025772436957
9150,464.935,500.797497159834,482.477329308596
9210,471.506666666667,473.551641521716,481.911728588781
9270,458.511666666667,505.000630818097,481.330263441585
9330,446.501666666667,537.16697874067,480.734227465963
9390,432.596666666667,468.200504711068,480.13507239249
9450,425.498333333333,592.51379314037,479.513098679796
9510,420.98,388.16540860186,478.892232782805
9570,424.978947368421,576.523633784496,478.256730349398
9630,430.555357142857,461.824801313641,477.613516120718
9690,443.722448979592,450.556492566884,476.969827358875
9750,445.820512820513,535.889818064701,476.321042553893
9810,453.391666666667,311.57567627059,475.668572884587
9870,463.215,509.652608021573,475.014167458261
9930,478.128333333333,500.454720514961,474.359779079397
9990,483.36,514.233169675045,473.701596390704
10050,462.951724137931,351.14339705892,473.05412283624
10110,480.453333333333,531.071730056411,472.407200462945
10170,486.252542372881,487.494512422456,471.774646241424
10230,463.391666666667,360.808517147377,471.15164349688
10290,457.903333333333,736.776835715472,470.533242046343
10350,448.041666666667,328.149791847761,469.925797123633
10410,432.438983050847,264.49529375947,469.335206148813
10470,448.22,501.612304181938,468.745828908326
10530,457.018644067797,474.174213898212,468.174337146456
10590,447.049090909091,555.873363872801,467.615863479236
10650,455.628070175439,347.782018283079,467.067234826425
10710,460.43,551.132689902568,466.533351593185
10770,465.118333333333,513.749010559599,466.014470414249
10830,448.066666666667,499.937456431051,465.506588777759
10890,480.176666666667,439.520578019152,465.015103175825
10950,478.29,471.895984997737,464.54056360018
11010,480.618644067797,339.528609332333,464.083523852199
11070,483.689830508475,390.313971599819,463.640683763498
11130,477.778333333333,467.95303541475,463.216818989622
11190,471.871666666667,580.972782406381,462.812499370305
11250,483.471428571429,613.635664829543,462.428294705094
11310,476.814285714286,435.783712258183,462.058632867
11370,474.775,523.022546320576,461.713925699922
11430,478.791666666667,478.217290031975,461.388840696374
11490,483.340677966102,445.923750415674,461.087386135532
11550,473.427586206897,394.651596169556,460.808339138361
11610,484.896666666667,484.300624097338,460.554436536684
11670,481.966666666667,516.805292741959,460.326189919589
11730,508.665,485.568580378317,460.122497966743
11790,489.029310344828,384.683564552476,459.944718448643
11850,471.751666666667,468.741252892232,459.795470556855
11910,473.746666666667,601.695279262758,459.674441483932
11970,471.526666666667,347.965203805212,459.583674185229
12030,473.342372881356,427.206555699975,459.522165274189
12090,472.020338983051,583.937879881731,459.489349910677
12150,467.578333333333,490.138264327873,459.483486120383
12210,467.183333333333,588.258425935872,459.503225472156
12270,453.665517241379,506.56327818113,459.547181032648
12330,449.941379310345,395.395304365228,459.614088888737
12390,450.505,448.523343404123,459.701078211327
12450,440.168965517241,507.34465356827,459.807623938696
12510,434.582456140351,576.47280836632,459.932281497362
12570,429.393103448276,525.929881561715,460.071194015041
12630,423.294915254237,453.87644394481,460.224642060314
12690,416.41,476.509143234657,460.389646390918
12750,407.978333333333,290.914330349715,460.565698680856
12810,413.513333333333,500.511585581816,460.749551578218
12870,403.185964912281,191.379546764242,460.937691275513
12930,405.045,563.50327672664,461.131180717296
12990,403.038983050847,599.538557472449,461.324944506341
13050,400.518644067797,423.240794246124,461.520078525535
13110,389.530508474576,319.854404036207,461.713019884488
13170,393.695,380.180774758378,461.901853973089
13230,415.603333333333,357.753724029862,462.08353650366
13290,415.54,628.971472136542,462.25817090921
13350,409.843333333333,430.625777832837,462.425624457486
13410,403.046666666667,433.028082187815,462.58060588452
13470,403.421666666667,412.55501222735,462.725561909542
13530,417.489655172414,492.417651820692,462.857780718534
13590,417.698305084746,609.957417922354,462.974965553829
13650,428.008333333333,564.288045613242,463.076831687823
13710,428.031666666667,509.748825611781,463.161990142803
13770,435.667796610169,399.015017757451,463.228632942155
13830,440.426666666667,421.947307553293,463.276541419644
13890,454.458620689655,372.693791408258,463.305407408271
13950,441.601724137931,333.651664593666,463.315862125662
14010,442.884482758621,464.015099472994,463.30809238341
14070,455.466666666667,386.125723931931,463.282284792269
14130,451.076785714286,474.003321819823,463.239086860619
14190,455.970689655172,418.771444693095,463.17851609547
14250,457.579310344828,472.21146668307,463.101505826337
14310,476.09,377.76050943519,463.006876557099
14370,487.196666666667,325.508217489696,462.89645316063
14430,480.061666666667,403.939714059147,462.770836535205
14490,472.706779661017,396.44971629342,462.629303254914
14550,469.005172413793,588.479482298216,462.472024563684
14610,483.121666666667,432.127717491403,462.299171846153
14670,500.086666666667,638.976697432403,462.11091604178
14730,526.766666666667,479.976923580257,461.909281698732
14790,568.066666666667,336.458340563767,461.692847746486
14850,543.083333333333,460.562035979299,461.463893800973
14910,499.133333333333,506.864125095481,461.220663844259
14970,507.63,485.321001226314,460.963006499432
15030,491.7,572.224415052611,460.691283430849
15090,471.640677966102,388.630862867668,460.405847692136
15150,471.228813559322,420.86958353586,460.109475001456
15210,476.543333333333,602.011246112128,459.79995468855
15270,469.613793103448,500.421651069258,459.477443126271
15330,470.011666666667,463.526597466243,459.145071405814
15390,462.398333333333,477.495955717121,458.797163165887
15450,463.277586206897,614.212645985304,458.439938280763
