hours since 2015-01-01 00:00,Relative_CH_CorrectSphereArea
29.00166666666666666666666666666666666672,7.3
30.00166666666666666666666666666666666656,7.29
31.00166666666666666666666666666666666664,7.29
32.00166666666666666666666666666666666672,7.29
33.00166666666666666666666666666666666656,7.41
34.00166666666666666666666666666666666664,7.16
35.00166666666666666666666666666666666672,7.45
36.00166666666666666666666666666666666656,7.44
37.00166666666666666666666666666666666664,7.41
38.00166666666666666666666666666666666672,7.25
39.00166666666666666666666666666666666656,7.49
40.00166666666666666666666666666666666664,7.53
41.00166666666666666666666666666666666672,7.31
42.00166666666666666666666666666666666656,7.23
43.05166666666666666666666666666666666656,8.29
43.10166666666666666666666666666666666672,7.36
45.95166666666666666666666666666666666672,9.19
46.95166666666666666666666666666666666656,8.44
47.95166666666666666666666666666666666664,8.47
48.05166666666666666666666666666666666672,8.77
48.10166666666666666666666666666666666664,8.38
48.15166666666666666666666666666666666656,8.42
48.20166666666666666666666666666666666672,8.65
48.25166666666666666666666666666666666664,8.36
48.30166666666666666666666666666666666656,8.65
48.35166666666666666666666666666666666672,8.5
48.40166666666666666666666666666666666664,8.65
48.45166666666666666666666666666666666656,8.68
48.50166666666666666666666666666666666672,8.49
48.55166666666666666666666666666666666664,8.56
48.60166666666666666666666666666666666656,8.67
48.65166666666666666666666666666666666672,8.46
48.70166666666666666666666666666666666664,8.71
48.75166666666666666666666666666666666656,8.58
48.80166666666666666666666666666666666672,8.36
48.85166666666666666666666666666666666664,8.81
48.90166666666666666666666666666666666656,8.66
48.95166666666666666666666666666666666672,8.55
49.95166666666666666666666666666666666656,8.85
50.95166666666666666666666666666666666664,8.48
51.95166666666666666666666666666666666672,8.56
52.05166666666666666666666666666666666656,8.41
52.10166666666666666666666666666666666672,8.68
52.15166666666666666666666666666666666664,8.52
52.20166666666666666666666666666666666656,8.6
52.25166666666666666666666666666666666672,8.57
52.30166666666666666666666666666666666664,8.52
52.35166666666666666666666666666666666656,8.59
52.40166666666666666666666666666666666672,8.54
52.45166666666666666666666666666666666664,8.74
52.50166666666666666666666666666666666656,8.64
52.55166666666666666666666666666666666672,8.61
52.60166666666666666666666666666666666664,8.7
52.65166666666666666666666666666666666656,8.75
52.70166666666666666666666666666666666672,8.69
52.75166666666666666666666666666666666664,8.71
52.80166666666666666666666666666666666656,8.64
52.85166666666666666666666666666666666672,8.76
52.90166666666666666666666666666666666664,8.77
52.95166666666666666666666666666666666656,8.81
53.95166666666666666666666666666666666664,9.15
54.95166666666666666666666666666666666672,9.29
55.95166666666666666666666666666666666656,9.1
56.95166666666666666666666666666666666664,9.23
57.45166666666666666666666666666666666656,2.85
58.95166666666666666666666666666666666656,9.74
59.90166666666666666666666666666666666672,9.59
60.95166666666666666666666666666666666672,9.51
61.95166666666666666666666666666666666656,10.02
62.95166666666666666666666666666666666664,9.81
63.95166666666666666666666666666666666672,9.81
64.95166666666666666666666666666666666656,9.62
65.95166666666666666666666666666666666664,9.63
66.95166666666666666666666666666666666672,9.82
67.95166666666666666666666666666666666656,9.09
68.95166666666666666666666666666666666664,9.67
69.95166666666666666666666666666666666672,9.57
70.95166666666666666666666666666666666656,9.52
71.95166666666666666666666666666666666664,9.89
72.95166666666666666666666666666666666672,9.37
73.40166666666666666666666666666666666672,9.76
74.00166666666666666666666666666666666672,9.37
75.40166666666666666666666666666666666664,0
76.95166666666666666666666666666666666656,9.52
77.95166666666666666666666666666666666664,9.26
78.95166666666666666666666666666666666672,10.16
79.95166666666666666666666666666666666656,10.48
80.95166666666666666666666666666666666664,9.99
81.95166666666666666666666666666666666672,10.15
82.95166666666666666666666666666666666656,9.82
83.95166666666666666666666666666666666664,9.89
84.95166666666666666666666666666666666672,9.39
85.95166666666666666666666666666666666656,9.41
86.95166666666666666666666666666666666664,9.32
87.95166666666666666666666666666666666672,9.43
88.95166666666666666666666666666666666656,9.28
89.95166666666666666666666666666666666664,9.34
90.95166666666666666666666666666666666672,9.18
91.95166666666666666666666666666666666656,9.49
92.95166666666666666666666666666666666664,8.87
93.95166666666666666666666666666666666672,8.7
94.95166666666666666666666666666666666656,9.21
95.95166666666666666666666666666666666664,8.84
96.95166666666666666666666666666666666672,8.88
97.95166666666666666666666666666666666656,8.78
98.95166666666666666666666666666666666664,8.17
99.00166666666666666666666666666666666656,8.73
100.001666666666666666666666666666666667,8.57
100.051666666666666666666666666666666667,8.72
100.101666666666666666666666666666666667,8.24
100.151666666666666666666666666666666667,8.29
100.201666666666666666666666666666666667,8.32
100.251666666666666666666666666666666667,7.71
100.305,7.81
100.351666666666666666666666666666666667,8.29
100.401666666666666666666666666666666667,7.63
100.451666666666666666666666666666666667,7.66
100.501666666666666666666666666666666667,7.84
100.551666666666666666666666666666666667,7.67
100.601666666666666666666666666666666667,7.76
101.951666666666666666666666666666666667,7.7
102.051666666666666666666666666666666667,7.73
102.101666666666666666666666666666666667,7.76
102.951666666666666666666666666666666667,8.1
103.951666666666666666666666666666666667,7.61
104.951666666666666666666666666666666667,7.33
105.951666666666666666666666666666666667,7.92
106.951666666666666666666666666666666667,7.93
107.951666666666666666666666666666666667,7.33
108.951666666666666666666666666666666667,7.27
109.951666666666666666666666666666666667,7.38
110.951666666666666666666666666666666667,7.2
111.951666666666666666666666666666666667,7.21
112.951666666666666666666666666666666667,7.52
113.951666666666666666666666666666666667,7.1
114.951666666666666666666666666666666667,6.68
115.951666666666666666666666666666666667,6.5
116.951666666666666666666666666666666667,6.97
117.951666666666666666666666666666666667,6.86
118.951666666666666666666666666666666667,6.9
