"hours since 01.01.2015  1:00:00",velocity,density,temperature,status
219,415.8,3.9,68100,0
220,415.5,3.9,64400,0
221,409.8,3.9,95700,0
222,404.3,4.2,82900,0
223,404.3,3.7,84500,0
224,417.4,4.4,93300,0
225,417.1,4.9,103000,0
226,428.9,3.9,104000,0
227,429.2,4.9,106000,0
228,434.7,4.1,122000,0
229,440.3,5.4,129000,0
230,457.2,4.2,155000,0
231,441.7,4,157000,0
232,440.6,3.7,193000,0
233,453.9,2.2,189000,0
234,449.8,2.9,118000,1
235,453.4,2.8,141000,0
236,454.7,2.2,140000,1
237,477.1,1.8,186000,0
238,486.8,1.9,229000,1
239,479.5,1.5,148000,0
240,471.7,2.1,155000,0
241,461.4,1.7,135000,0
242,483.3,1.5,149000,0
243,495.8,1.1,214000,1
244,526.5,1,231000,0
245,565.4,1.5,304000,0
246,538.2,1.2,293000,1
247,496.4,0.7,215000,0
248,507.4,0.9,202000,1
249,489.7,0.7,148000,1
250,470.5,1.3,88700,1
251,,,-100000,3
252,478,1.1,80100,0
253,468.7,1.2,66300,0
254,469.7,1.2,74400,0
255,461.4,1.4,70600,0
256,465.6,1.5,77900,0
257,452.4,1.7,68200,1
258,450.8,2.1,107000,1
259,435.5,2,138000,0
260,429.1,2.1,109000,1
261,441.7,2.5,119000,0
262,428,1.5,121000,0
263,442.4,2.5,132000,0
264,445.1,2.7,119000,0
265,428.5,1.8,127000,0
266,425.9,2.3,116000,1
267,434.5,2.6,163000,1
268,448.1,3.1,186000,0
269,449.6,3,179000,0
270,438.4,3.1,170000,1
271,448.3,3.6,166000,1
272,437.8,3.6,168000,1
273,434.4,3.4,176000,1
274,448.4,3.3,139000,0
275,451.8,3.6,145000,0
276,440.7,3.5,130000,1
277,432.9,3.7,141000,0
278,435.1,3.4,150000,1
279,424.2,4.4,159000,1
280,426.1,4.2,150000,0
281,439.5,4.7,135000,0
282,424.3,4.2,129000,1
283,,,-100000,3
284,405,4.3,111000,1
285,405.7,4.9,125000,0
286,404.4,4.7,137000,1
287,447.6,4.8,134000,0
288,412.6,5,95000,0
289,422.7,4.6,113000,0
290,417.5,3.6,177000,1
291,418.9,4.7,171000,0
292,431.8,3.6,147000,0
293,424,2.9,122000,0
294,429.6,2.4,114000,0
295,429.5,2.2,130000,1
296,422,4,95200,0
297,431.7,3.8,99000,0
298,446,4.1,80000,0
299,447,4.7,125000,1
300,452.3,4.6,120000,0
301,451,3.5,102000,0
302,449.1,4.3,84600,0
303,440.9,4,87200,1
304,430.4,4.7,89100,0
305,419.5,4.7,91300,0
306,410.1,4.7,106000,1
307,417.8,2.9,106000,0
308,409.8,4.4,95200,1
309,410.7,4.8,93400,0
310,397.8,3,74500,1
311,406.3,2.5,85200,0
312,393.9,4.7,102000,0
313,402.5,3,72700,0
314,407.4,2,54000,0
315,403.6,3.1,74300,0
316,398.4,3.1,74000,0
317,405.7,3,92900,1
318,391.3,3.3,89600,0
319,390.8,3.9,65200,0
320,398.8,3.7,41300,0
321,393.2,3.8,51900,0
322,389.5,4,49600,0
323,378.6,4.7,61200,0
324,393.7,4.1,47000,0
325,393.2,3.1,43400,0
326,388.2,4.2,52500,0
327,397,3.6,58200,0
328,388.7,3.5,56800,1
329,389.2,4.1,76100,1
330,389.9,4.1,82700,0
331,394.9,3.6,73300,0
332,398.3,3.2,90600,0
333,405.2,2.1,79400,1
334,408.4,1.8,87500,0
335,404.2,3.1,84100,1
336,394,4.2,112000,1
337,393.8,2.8,111000,1
338,422.7,3.6,167000,0
339,423.9,2.5,151000,0
340,415.9,4.2,137000,0
341,409.9,3.7,147000,1
342,398.7,2.1,146000,1
343,404,1.2,114000,0
344,425.5,3.1,107000,1
345,404.8,2.8,121000,0
346,408.8,3.5,110000,0
347,421.4,4.1,89300,0
348,406.2,2.9,108000,1
